template_code,dish_name,source_page,author,license,license_url,download_url,local_file_name
"DISH_001","红烧肉","https://commons.wikimedia.org/wiki/File%3A%E7%B4%85%E7%87%92%E8%82%89_Braised_pork_in_brown_sauce.jpg","FotoosVanRobin Photostream","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","https://upload.wikimedia.org/wikipedia/commons/f/f4/%E7%B4%85%E7%87%92%E8%82%89_Braised_pork_in_brown_sauce.jpg","dish-001.jpg"
"DISH_002","糖醋排骨","https://commons.wikimedia.org/wiki/File%3AFlickr_-_Sweet_and_Sour_Pork.jpg","Alpha from Melbourne, Australia","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flickr_-_Sweet_and_Sour_Pork.jpg/960px-Flickr_-_Sweet_and_Sour_Pork.jpg","dish-002.jpg"
"DISH_003","土豆烧牛腩","https://commons.wikimedia.org/wiki/File%3ADish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","Smuconlaw.","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg/960px-Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","dish-003.jpg"
"DISH_004","番茄炒蛋","https://commons.wikimedia.org/wiki/File%3APip%C3%A9rade.jpg","FotoosVanRobin","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/2/23/Pip%C3%A9rade.jpg","dish-004.jpg"
"DISH_005","青椒肉丝","https://commons.wikimedia.org/wiki/File%3APepper_steak.jpg","Bakkai撮影","CC BY-SA 3.0","http://creativecommons.org/licenses/by-sa/3.0/","https://upload.wikimedia.org/wikipedia/commons/9/9d/Pepper_steak.jpg","dish-005.jpg"
"DISH_006","鱼香肉丝","https://commons.wikimedia.org/wiki/File%3AFish_flavoured_sliced_pork_from_Melbourne.jpg","avlxyz on flickr","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Fish_flavoured_sliced_pork_from_Melbourne.jpg/960px-Fish_flavoured_sliced_pork_from_Melbourne.jpg","dish-006.jpg"
"DISH_007","宫保鸡丁","https://commons.wikimedia.org/wiki/File%3AKung_Pao_chicken_(western_version)_-1.jpg","Alexander Marks (aomarks)","Public domain","","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Kung_Pao_chicken_%28western_version%29_-1.jpg/960px-Kung_Pao_chicken_%28western_version%29_-1.jpg","dish-007.jpg"
"DISH_008","麻婆豆腐","https://commons.wikimedia.org/wiki/File%3AMapo_doufu_by_kina3.jpg","kina3","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Mapo_doufu_by_kina3.jpg/960px-Mapo_doufu_by_kina3.jpg","dish-008.jpg"
"DISH_009","回锅肉","https://commons.wikimedia.org/wiki/File%3ATwice_cooked_pork_and_rice%2C_Canard_Dor%C3%A9%2C_Paris_003.jpg","Guilhem Vellut from Paris, France","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Twice_cooked_pork_and_rice%2C_Canard_Dor%C3%A9%2C_Paris_003.jpg/960px-Twice_cooked_pork_and_rice%2C_Canard_Dor%C3%A9%2C_Paris_003.jpg","dish-009.jpg"
"DISH_010","木须肉","https://commons.wikimedia.org/wiki/File%3AMoo_Shu_Pork_Burritos.jpg","Mark Mitchell from Toledo, Ohio, United States of America","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Moo_Shu_Pork_Burritos.jpg/960px-Moo_Shu_Pork_Burritos.jpg","dish-010.jpg"
